Submarca;Modelo;Trans.;Comb.;Cilindros;Potencia (HP);Tamaño (L);Categoría;Marca
CIVIC;2013;CVT;Gasolina;4;90;1,5;AUTOS COMPACTOS;HONDA
CIVIC;2014;CVT;Gasolina;4;90;1,5;AUTOS COMPACTOS;HONDA
CIVIC;2012;CVT;Gasolina;4;90;1,5;AUTOS COMPACTOS;HONDA
CIVIC HIBRIDO;2011;CVT;Gasolina;4;110;1,3;AUTOS COMPACTOS;HONDA
GOLF;2015;DSG;Gasolina;4;140;1,4;AUTOS COMPACTOS;VW
CRUZE;2018;MAN;Gasolina;4;148;1,4;AUTOS COMPACTOS;CHEVROLET
GOLF;2015;MAN;Gasolina;4;140;1,4;AUTOS COMPACTOS;VW
CRUZE;2017;AUT;Gasolina;4;148;1,4;AUTOS COMPACTOS;CHEVROLET
GOLF;2016;DSG;Gasolina;4;150;1,4;AUTOS COMPACTOS;VW
GOLF;2017;DSG;Gasolina;4;150;1,4;AUTOS COMPACTOS;VW
CRUZE;2018;AUT;Gasolina;4;148;1,4;AUTOS COMPACTOS;CHEVROLET
CRUZE;2018;AUT;Gasolina;4;148;1,4;AUTOS COMPACTOS;CHEVROLET
BEETLE;2012;MAN;Gasolina;4;104;1,2;AUTOS COMPACTOS;VW
BEETLE;2013;MAN;Gasolina;4;104;1,2;AUTOS COMPACTOS;VW
GOLF;2016;DSG;Gasolina;4;150;1,4;AUTOS COMPACTOS;VW
GOLF;2017;DSG;Gasolina;4;150;1,4;AUTOS COMPACTOS;VW
GOLF;2016;MAN;Gasolina;4;150;1,4;AUTOS COMPACTOS;VW
GOLF;2017;MAN;Gasolina;4;150;1,4;AUTOS COMPACTOS;VW
CRUZE;2018;AUT;Gasolina;4;148;1,4;AUTOS COMPACTOS;CHEVROLET
MALIBU;2016;AUT;Gasolina;4;160;1,5;AUTOS COMPACTOS;CHEVROLET
MALIBU;2017;AUT;Gasolina;4;160;1,5;AUTOS COMPACTOS;CHEVROLET
MALIBU;2017;AUT;Gasolina;4;160;1,5;AUTOS COMPACTOS;CHEVROLET
GOLF;2013;DSG;Gasolina;4;160;1,4;AUTOS COMPACTOS;VW
CITY;2011;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS;HONDA
CITY;2011;MAN;Gasolina;4;118;1,5;AUTOS COMPACTOS;HONDA
